Generate ANTLR4: Successfully

Result: 78/ 100
Details:
Testcase 001: Passed
Testcase 002: Passed
Testcase 003: Passed
Testcase 004: Passed
Testcase 005: Passed
Testcase 006: Passed
Testcase 007: Failed
Testcase 008: Failed
Testcase 009: Failed
Testcase 010: Failed
Testcase 011: Passed
Testcase 012: Passed
Testcase 013: Failed
Testcase 014: Failed
Testcase 015: Failed
Testcase 016: Passed
Testcase 017: Passed
Testcase 018: Passed
Testcase 019: Passed
Testcase 020: Failed
Testcase 021: Passed
Testcase 022: Passed
Testcase 023: Passed
Testcase 024: Passed
Testcase 025: Passed
Testcase 026: Passed
Testcase 027: Failed
Testcase 028: Failed
Testcase 029: Failed
Testcase 030: Failed
Testcase 031: Passed
Testcase 032: Passed
Testcase 033: Failed
Testcase 034: Failed
Testcase 035: Passed
Testcase 036: Passed
Testcase 037: Passed
Testcase 038: Passed
Testcase 039: Passed
Testcase 040: Passed
Testcase 041: Passed
Testcase 042: Passed
Testcase 043: Passed
Testcase 044: Passed
Testcase 045: Passed
Testcase 046: Passed
Testcase 047: Passed
Testcase 048: Passed
Testcase 049: Passed
Testcase 050: Passed
Testcase 051: Passed
Testcase 052: Passed
Testcase 053: Passed
Testcase 054: Passed
Testcase 055: Passed
Testcase 056: Passed
Testcase 057: Passed
Testcase 058: Failed
Testcase 059: Passed
Testcase 060: Passed
Testcase 061: Passed
Testcase 062: Passed
Testcase 063: Passed
Testcase 064: Passed
Testcase 065: Passed
Testcase 066: Passed
Testcase 067: Passed
Testcase 068: Passed
Testcase 069: Passed
Testcase 070: Passed
Testcase 071: Passed
Testcase 072: Passed
Testcase 073: Passed
Testcase 074: Passed
Testcase 075: Passed
Testcase 076: Passed
Testcase 077: Passed
Testcase 078: Passed
Testcase 079: Passed
Testcase 080: Passed
Testcase 081: Passed
Testcase 082: Passed
Testcase 083: Passed
Testcase 084: Failed
Testcase 085: Failed
Testcase 086: Passed
Testcase 087: Failed
Testcase 088: Passed
Testcase 089: Passed
Testcase 090: Passed
Testcase 091: Passed
Testcase 092: Failed
Testcase 093: Failed
Testcase 094: Passed
Testcase 095: Failed
Testcase 096: Passed
Testcase 097: Passed
Testcase 098: Passed
Testcase 099: Failed
Testcase 100: Passed
